code ,total,region ,sub region ,country 
B05006_001E,Total,,,
B05006_002E,Total,Europe,,
B05006_003E,Total,Europe,Northern Europe,
B05006_004E,Total,Europe,Northern Europe,United Kingdom
B05006_005E,Total,Europe,Northern Europe,United Kingdom exc Eng Sco
B05006_006E,Total,Europe,Northern Europe,England
B05006_007E,Total,Europe,Northern Europe,Scotland
B05006_008E,Total,Europe,Northern Europe,Ireland
B05006_009E,Total,Europe,Northern Europe,Denmark
B05006_010E,Total,Europe,Northern Europe,Norway
B05006_011E,Total,Europe,Northern Europe,Sweden
B05006_012E,Total,Europe,Northern Europe,Other Northern Europe
B05006_013E,Total,Europe,Western Europe,
B05006_014E,Total,Europe,Western Europe,Austria
B05006_015E,Total,Europe,Western Europe,Belgium
B05006_016E,Total,Europe,Western Europe,France
B05006_017E,Total,Europe,Western Europe,Germany
B05006_018E,Total,Europe,Western Europe,Netherlands
B05006_019E,Total,Europe,Western Europe,Switzerland
B05006_020E,Total,Europe,Western Europe,Other Western Europe
B05006_021E,Total,Europe,Southern Europe,
B05006_022E,Total,Europe,Southern Europe,Greece
B05006_023E,Total,Europe,Southern Europe,Italy
B05006_024E,Total,Europe,Southern Europe,Portugal
B05006_025E,Total,Europe,Southern Europe,Azores Islands
B05006_026E,Total,Europe,Southern Europe,Spain
B05006_027E,Total,Europe,Southern Europe,Other Southern Europe
B05006_028E,Total,Europe,Eastern Europe,
B05006_029E,Total,Europe,Eastern Europe,Albania
B05006_030E,Total,Europe,Eastern Europe,Belarus
B05006_031E,Total,Europe,Eastern Europe,Bulgaria
B05006_032E,Total,Europe,Eastern Europe,Croatia
B05006_033E,Total,Europe,Eastern Europe,Czechoslovakia
B05006_034E,Total,Europe,Eastern Europe,Hungary
B05006_035E,Total,Europe,Eastern Europe,Latvia
B05006_036E,Total,Europe,Eastern Europe,Lithuania
B05006_037E,Total,Europe,Eastern Europe,Macedonia
B05006_038E,Total,Europe,Eastern Europe,Moldova
B05006_039E,Total,Europe,Eastern Europe,Poland
B05006_040E,Total,Europe,Eastern Europe,Romania
B05006_041E,Total,Europe,Eastern Europe,Russia
B05006_042E,Total,Europe,Eastern Europe,Ukraine
B05006_043E,Total,Europe,Eastern Europe,Bosnia and Herzegovina
B05006_044E,Total,Europe,Eastern Europe,Serbia
B05006_045E,Total,Europe,Eastern Europe,Other Eastern Europe
B05006_046E,Total,Europe,"Europe, n.e.c.",
B05006_047E,Total,Asia,,
B05006_048E,Total,Asia,Eastern Asia,
B05006_049E,Total,Asia,Eastern Asia,China
B05006_050E,Total,Asia,Eastern Asia,China excluding Hong Kong and Taiwan
B05006_051E,Total,Asia,Eastern Asia,Hong Kong
B05006_052E,Total,Asia,Eastern Asia,Taiwan
B05006_053E,Total,Asia,Eastern Asia,Japan
B05006_054E,Total,Asia,Eastern Asia,Korea
B05006_055E,Total,Asia,Eastern Asia,Other Eastern Asia
B05006_056E,Total,Asia,South Central Asia,
B05006_057E,Total,Asia,South Central Asia,Afghanistan
B05006_058E,Total,Asia,South Central Asia,Bangladesh
B05006_059E,Total,Asia,South Central Asia,India
B05006_060E,Total,Asia,South Central Asia,Iran
B05006_061E,Total,Asia,South Central Asia,Kazakhstan
B05006_062E,Total,Asia,South Central Asia,Nepal
B05006_063E,Total,Asia,South Central Asia,Pakistan
B05006_064E,Total,Asia,South Central Asia,Sri Lanka
B05006_065E,Total,Asia,South Central Asia,Uzbekistan
B05006_066E,Total,Asia,South Central Asia,Other South Central Asia
B05006_067E,Total,Asia,South Eastern Asia,
B05006_068E,Total,Asia,South Eastern Asia,Cambodia
B05006_069E,Total,Asia,South Eastern Asia,Indonesia
B05006_070E,Total,Asia,South Eastern Asia,Laos
B05006_071E,Total,Asia,South Eastern Asia,Malaysia
B05006_072E,Total,Asia,South Eastern Asia,Burma
B05006_073E,Total,Asia,South Eastern Asia,Philippines
B05006_074E,Total,Asia,South Eastern Asia,Singapore
B05006_075E,Total,Asia,South Eastern Asia,Thailand
B05006_076E,Total,Asia,South Eastern Asia,Vietnam
B05006_077E,Total,Asia,South Eastern Asia,Other South Eastern Asia
B05006_078E,Total,Asia,Western Asia,
B05006_079E,Total,Asia,Western Asia,Iraq
B05006_080E,Total,Asia,Western Asia,Israel
